"<img src=""ng-chord-0fb78726c384d1217170848188a8f25b-g_major_bu__T_gu__T_eu__T.png"">";"E min"
"<img src=""ng-chord-0fbb7b69191c23fb5df6b014c97945b9-b_flat_major_fuu__T_duu__T_au__T.png"">";"D min"
"<img src=""ng-chord-0fbf713a690a19ba0404b74d07dd76f5-f_sharp_major_buu__T_fisuu_s_T_disuu_s_T.png"">";"B maj"
"<img src=""ng-chord-0fcdc571b9a4dbd8999f68fa4febb46a-a_flat_major_besu_f_T_fu__T_desu_f_T.png"">";"B♭ min"
"<img src=""ng-chord-0fef3a685d7712cd96d06fe58cd455ce-f_major_fu__T_du__T_bes_f_T.png"">";"B♭ maj"
"<img src=""ng-chord-0ff01533f107324f711f523a53da9d95-a_flat_major_cu__T_aes_f_B_f__B.png"">";"F min"
"<img src=""ng-chord-1067f1cba51e628036001563d11a7c0d-d_major_bu__T_gu__T_eu__B.png"">";"E min"
"<img src=""ng-chord-106cbadf1cd55ddc9a5b81aebf55dab3-g_major_fisu_s_T_du__T_b__T.png"">";"B min"
"<img src=""ng-chord-10947d7280c1a55c7179500db469d7a6-f_sharp_major_disu_s_B_b__B_fis_s_B.png"">";"B maj"
"<img src=""ng-chord-1131efecad269bfdd0b8a751c8035579-f_major_gl__B_el__B_cl__B.png"">";"C maj"
"<img src=""ng-chord-1146b5acc6db8b59607b53ad639570d8-e_major_eu__T_b__B_gis_s_B.png"">";"E maj"
"<img src=""ng-chord-114badb7b27ec6b4ec724cd7c6ea349f-c_major_fuu__T_duu__T_bu__T.png"">";"B dim"
"<img src=""ng-chord-1188eb6b03de154616048d987c859989-a_major_a__B_e__B_cis_s_B.png"">";"A maj"
"<img src=""ng-chord-118f4e2abffe2132309b3d82ac140bcb-f_sharp_major_ais_s_B_fis_s_B_cis_s_B.png"">";"F♯ maj"
"<img src=""ng-chord-1198ded5df8bc7ce6696c179f7d09bed-b_flat_major_besl_f_B_gl__B_dl__B.png"">";"G min"
"<img src=""ng-chord-11d5528ae41c656d9be50cb6bb12b82b-g_flat_major_cesu_f_B_ges_f_B_es_f_B.png"">";"C♭ maj"
"<img src=""ng-chord-11de005c44914c2facdca49b0f68d413-d_flat_major_aes_f_T_es_f_B_c__B.png"">";"A♭ maj"
"<img src=""ng-chord-120e5062996cbf82e9b72d29e48187d7-g_major_duu__T_au__T_fisu_s_T.png"">";"D maj"
"<img src=""ng-chord-1231fd144a14f4eb1be28566d338ed49-e_major_eu__B_cisu_s_B_a__B.png"">";"A maj"
"<img src=""ng-chord-126f093a82f7bdc7a1b8dd4b1fa751ec-e_flat_major_besu_f_T_gu__T_esu_f_T.png"">";"E♭ maj"
"<img src=""ng-chord-12df8bd03362176aa278526421df2eb8-d_flat_major_fu__T_cu__T_aes_f_B.png"">";"F min"
"<img src=""ng-chord-12f66c8b600835a6ed9962165f111f8e-f_sharp_major_b__B_gis_s_B_dis_s_B.png"">";"G♯ min"
"<img src=""ng-chord-1313603fc8a2f5fdcd7a52c6782840ab-d_flat_major_c__B_aesl_f_B_fl__B.png"">";"F min"
"<img src=""ng-chord-138625252451b546fb990e08a9ed71c1-g_major_fisu_s_T_cu__T_a__B.png"">";"F♯ dim"
"<img src=""ng-chord-13c19da8af9511f6f5806c58a67c3153-d_flat_major_es_f_B_c__B_aesl_f_B.png"">";"A♭ maj"
"<img src=""ng-chord-13c8b9034eaf3b21f7f11529d7071f42-d_flat_major_cuuu__T_aesuu_f_T_fuu__T.png"">";"F min"
"<img src=""ng-chord-13dd09eae276fa24c16f3268bdf18eb5-a_flat_major_f__B_c__B_aesl_f_B.png"">";"F min"
"<img src=""ng-chord-13efa9ffcc18f399ec90449742f654a5-b_major_e__B_bl__B_gisl_s_B.png"">";"E maj"
"<img src=""ng-chord-1426377a3f61c8ceec44745cfa849686-g_flat_major_esu_f_T_bes_f_T_ges_f_B.png"">";"E♭ min"
"<img src=""ng-chord-143a496ed88fd7ad216fde50f2c80c3e-g_major_fisuu_s_T_cuu__T_au__T.png"">";"F♯ dim"
"<img src=""ng-chord-14a519e970807e2c84e5b3372dcf22a2-g_major_fisu_s_T_du__T_b__B.png"">";"B min"
"<img src=""ng-chord-14d53f529dc832c8c32c69401358e82f-a_flat_major_f__B_des_f_B_besl_f_B.png"">";"B♭ min"
"<img src=""ng-chord-1535e4de2eb3efca57a1b5c1ec879069-d_major_fisu_s_T_cisu_s_T_a__T.png"">";"F♯ min"
"<img src=""ng-chord-15477e804035f271e3163c369ed0b700-a_major_fisu_s_T_du__T_b__B.png"">";"B min"
"<img src=""ng-chord-15b27f3d25ece28d76687f3fe354f044-b_major_aisu_s_T_fisu_s_T_disu_s_B.png"">";"D♯ min"
"<img src=""ng-chord-15f1b2197290fbcd88a4497b61fa0f3b-d_major_du__T_b__T_g__B.png"">";"G maj"
"<img src=""ng-chord-164f34542db2de0f679dccef4da053db-c_major_du__B_b__B_f__B.png"">";"B dim"
"<img src=""ng-chord-16af1ed4d4721f2a7f9d1dd2905246d9-d_major_a__T_fis_s_B_cis_s_B.png"">";"F♯ min"
"<img src=""ng-chord-16f215a2d8616627966577ec74042478-f_sharp_major_dis_s_B_bl__B_fisl_s_B.png"">";"B maj"
"<img src=""ng-chord-1705b41cc9089bd9ffbc837240c00dba-f_major_gu__T_eu__T_cu__T.png"">";"C maj"
"<img src=""ng-chord-173fac6ff6b43e827dc70b86914b2ec7-e_major_gisl_s_B_el__B_cisl_s_B.png"">";"C♯ min"
"<img src=""ng-chord-175222486a2bb1575aeb0ab5a27f5c12-f_major_e__B_c__B_gl__B.png"">";"C maj"
"<img src=""ng-chord-175edbef2a31def07259cd086e88e22d-g_major_cuuu__T_auu__T_fisuu_s_T.png"">";"F♯ dim"
"<img src=""ng-chord-17708e3f834308c595935978d4c07ed4-d_major_fisu_s_T_cisu_s_T_a__B.png"">";"F♯ min"
"<img src=""ng-chord-178b0deffb1f7c675778aa022c9923a1-f_sharp_major_fisu_s_T_disu_s_T_b__B.png"">";"B maj"
"<img src=""ng-chord-17b373b9e7edf8e4008903796207a83d-b_major_bu__T_gisu_s_T_eu__B.png"">";"E maj"
"<img src=""ng-chord-17cf34c7cff46655b8764a743ff2464f-d_major_au__T_fisu_s_T_du__T.png"">";"D maj"
"<img src=""ng-chord-183c0a1b83419c41a9a5ae29371f4f4f-d_flat_major_aesuu_f_T_esuu_f_T_cuu__T.png"">";"A♭ maj"
"<img src=""ng-chord-1872a124c15bbf5c5a934b3612f27c42-e_major_bu__T_gisu_s_T_eu__T.png"">";"E maj"
"<img src=""ng-chord-188d6c2fb22eca890dc5e0ca2505d994-b_flat_major_esuu_f_T_besu_f_T_gu__T.png"">";"E♭ maj"
"<img src=""ng-chord-189198c08e2a7a532d5d139fc358921b-c_major_e__B_c__B_gl__B.png"">";"C maj"
"<img src=""ng-chord-189e3ce96b128e581a29255ea4518256-c_major_eu__B_b__B_g__B.png"">";"E min"
"<img src=""ng-chord-18a2b83bc8953a7b396f5032bf693ac4-g_flat_major_cesu_f_T_aes_f_B_f__B.png"">";"F dim"
"<img src=""ng-chord-18a9e5f58fe532d161a0c8017178065c-d_major_eu__T_cisu_s_B_g__B.png"">";"C♯ dim"
